system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
1,Dcard,https://www.dcard.tw/f/travel/p/255325905,2024-04-21 02:11:31,#請益 韓國釜山計程車,"想詢問去過釜山的卡友們♡︎
在當地搭計程車的時候使用（以下計程車）
1.韓國一般路邊計程車🚕
2.uber
3.KT

有5人座或是5人以上的車子嗎
除了機場接駁的不算🥹
麻煩大家回答了，謝謝😊",travel,5,,F,輔英科技大學
2,Dcard,https://www.dcard.tw/f/travel/p/255333624,2024-04-21 18:42:05,#請益 預約錯時間 但已經過了怎麼辦😭😭😭,如題 我預約了韓國了色彩診斷 原本要約5/16但約成4/19 發現的時候時間已經過了啊啊啊啊啊我的四千塊啊啊啊啊啊有沒有人有類似的經驗能救救我啊啊啊啊啊啊,travel,0,fishflyfly,F,暴走睡覺族
3,Dcard,https://www.dcard.tw/f/travel/p/255349140,2024-04-23 10:24:54,#國外遊記 麻煩大家🙏🏻韓國首爾行程健檢,"大家好👋🏻
下個月要去首爾自由行
希望大家不吝嗇的幫我行程健檢
還是有什麼推薦的都可以告訴我哦🥹感恩

機票已買
去程16:00-19:45高雄-金浦
回程20:35-22:40金浦-高雄

（五）到飯店放行李吃宵夜（豬腳小姐）
換錢

（六）
早餐：弘大地鐵9號出口早餐車
11:00才開 延南洞（弘大隔壁）
午餐：Solsot釜飯（麻浦區）
17:00弘大亂打秀
弘大（女人街）🚇9號出口（下午比較熱鬧）
晚餐：？

（日）
早餐EGGDROP吐司
狎鷗亭
午餐：祖傳三代馬鈴薯湯
下午茶☕️NUDAKE抹茶熔岩可頌
Granhand香水(marine orchid.susie salmon)
首爾林公園🚇首爾林站4號出口
樂天超市10:00～00:00🚇1號線133首爾車站1號出口

（一）
早餐issac弘大店🚇3號出口附近
西花韓服🚇3號線景福宮4號出口再走路5分鐘
景福宮🚇（週二公休）穿韓服不用門票錢
西花韓服同一棟有拍貼機
還韓服
午餐黃生家刀削麵or土俗村參雞湯
北村韓屋村or北村八景
Onion麵包
三清洞
晚餐永信肉鋪or三清洞麵疙瘩or長壽本家

（二）
10:00廣藏市場🚇地鐵1號線 鐘路五街 8號出口 禮拜天公休
（魚板湯·綠豆煎餅·糖餅·麻花卷）
首爾塔(搭纜車上山）
漢南洞（很多上下坡.中午後才營業）
晚餐世光烤腸or 豬腳小姐

（三）
東大門市場
午餐：BHC炸雞
晚上東大門設計廣場DDP🚇2號線文化公園站1號出口
日本夜景駱山公園🚇東廟站10號出口轉03小巴士
晚餐：孔陵一隻雞",travel,0,waxing_2023,F,waxing_2023
4,Dcard,https://www.dcard.tw/f/travel/p/255337049,2024-04-22 06:56:25,#國外遊記 麻煩各位 韓國🇰🇷行程健檢,"大家好👋🏻下個月要去韓國🇰🇷
麻煩各位幫忙行程健檢 感恩🥹
？早午晚餐打算餓了就挑間順眼的填飽肚子
還是各位有推薦的也麻煩跟我分享哦🥰


機票已買
去程16:00-19:45高雄-金浦
回程20:35-22:40金浦-高雄

（五）到飯店放行李吃宵夜（豬腳小姐）
換錢

（六）
早餐EGGDROP吐司
11:00才開 延南洞（弘大隔壁）
午餐：Solsot釜飯（麻浦區）
弘大（女人街）🚇9號出口（下午比較熱鬧）
晚餐：？

（日）
早餐？
狎鷗亭
下午茶☕️NUDAKE抹茶熔岩可頌
Granhand香水(marine orchid.susie salmon)
聖水洞（熱鬧）or首爾林
晚餐：元堂馬鈴薯排骨湯
樂天超市10:00～00:00🚇1號線133首爾車站1號出口

（一）
早餐issac弘大店
穿韓服（西花韓服）
景福宮🚇3號線景福宮2號出口（週二公休）
還韓服
午餐黃生家刀削麵or土俗村參雞湯
北村韓屋村or北村八景
三清洞
晚餐永信肉鋪or三清洞麵疙瘩or長壽本家

（二）
10:00廣藏市場🚇地鐵1號線 鐘路五街 8號出口 禮拜天公休
（魚板湯·綠豆煎餅·糖餅·麻花卷）
高速巴士地下街
午餐？
首爾塔(搭纜車上山）
漢南洞（很多上下坡）
亂打秀
晚餐世光烤腸or 豬腳小姐

（三）
早餐？
東大門市場
午餐？
晚上東大門設計廣場DDP🚇2號線文化公園站1號出口
日本夜景駱山公園🚇東廟站10號出口轉03小巴士
晚餐：孔陵一隻雞",travel,2,waxing_2023,F,waxing_2023
5,Dcard,https://www.dcard.tw/f/travel/p/255336424,2024-04-22 05:46:53,#徵旅伴 韓國 五月中後,"因為最近工作壓力關係 想要好好放鬆
打算去韓國(首爾or釜山）
本人1998 I 人 、熱愛美食🥘  & 很能走路👟
希望可以找年紀相似的人一起去享受美食逛街拍照📷
機票住宿都還未決定 行程可以再討論
但因為輪班關係最多只能去4～5天🥲
有想去的再麻煩大家留言 我再去找你們私訊😊",travel,14,,F,國立中央大學
6,Dcard,https://www.dcard.tw/f/travel/p/255339683,2024-04-22 11:33:22,#國外遊記 京都和服拍攝（隔比較久，圖多）,"上次發文，得到大家的回應很開心很滿足（我是超級E人），想來分享一下之前疫情爆發前剛好趕上最後一次出國～
先上個精修過後的圖～覺得加上日文很像什麼a片封面🤣
（精修👇🏼）

誠意十足，附上原圖🥹


因為比較久了，找不到當時的對話
（那時候都是用微信）

一開始是在萬用小紅書找到的，但因為小紅書很多關鍵字都不能提，會被ㄆㄧㄤ掉。所以就改微信私聊
連絡上後就是預約時間付訂金（支付寶）然後就直接當天見面了！
那時候因為是第一次被攝影師攝影，動作跟面對鏡頭都超級僵硬不自然，本來很擔心，但因為是大學同學生日一起出遊的，想說還是留個紀念。

➡️當天：2020/1/12 大阪清水寺 9:00點
和服店家：京都麗和風
當時不會自己找店家，約了跟攝影師有合作的店家
（再來一次應該會選擇自己約店家）
京都麗缺點：
網站架設很爛，看不到款式，而且全日文。然後地點有點小遠，1月穿和服在走到拍攝地點超凍。然後基本和服浴衣款式覺得沒有很好看，但4年前出社會沒有很久，心疼荷包，所以沒有做任何升級🥹 我這個是蕾絲和服～
京都麗優點：
裡面很多中國小姐姐，語言沒問題，綁頭髮不用另外加價。如果願意花錢加價，真的有好多好看的款式，基本上ig 看到的款式都是高級和服。

當天是9:00一早就準時到京都麗，因為攝影師建議早點到款式比較齊全跟拍攝人也比較少。
❗️這真的超重要，因為我是第一個換和服的客人，總共有3間房間，換和服跟韓服不一樣複雜好多，馬上後面開始塞車，髮妝造型老師大概有6個左右。

我個人只有綁頭髮沒有加購化裝（對不起🧎🏻‍♀️那時候窮，要加錢的我都沒有做）

➡️直接跳到10:30拍攝時間（我整個用好才快10點，可能是我選的很快）不然一般都建議預留1個半小時
攝影師：


當初是因為很喜歡他的風格才預約他，預約前有比較一下，很多和服店配合的攝影師都不講中文而且更貴🙃
然後我也沒有業配或有折扣，價格也不知道4年前後又沒有差別，所以不要問我去問他😂

攝影師優點：
他真的超會指導！！！我最滿意的就是這個，因為我有鏡頭尷尬症，只要不是自拍就都很不自然，他會直接擺動作讓你模仿。還有帶道具給我🤣（我記得好像是扇子跟狐狸面具還有傘）我是看圖找記憶的😂

另外覺得超值的地方就是，拍攝只需要一小時，照片超級多，精修我記得是挑10張。但基本上光線角度都喬的太好，沒有修圖的也好好看。
看到還在立腳架拍的，都在我們拍完走時，我看到還在拍，感覺會拍很久才能有滿意的🥲
可能攝影師同個地方拍很多次了，很會找點，一個點拍很快，所以基本上人不要爆多都能拍。
最後一點我覺得超值的就是不用穿整天和服，
最超值的方法就是選租期最小時數，拍完快速回去換調（木屐真的好難走）也因為太冷了，印象超級深刻。

題外話：前幾天剛從韓國回來，鑑於這次經驗，這次穿韓服也有找攝影師。4年前是冷死，這次在韓國是爆炸熱死🥵如果大家有興趣我在分享～～

最後附上作品，因為同學不想露臉，我超愛露臉，因此附上最後精修的一些個人照給你們看看，我自己是很滿意🥹





以下是未精修，我也很滿意的原圖
（我是想表達雖然精修只有10張，但像這種原圖，我覺得我自己美圖修修肯定也能修好的，就沒有呈上去精修了）=窮遊超值全家餐

未精修：




以上就是我第一次的和服拍攝經驗～
我個人是覺得和服跟韓服這種東西，去玩可能都只會穿一次，不如一次直接好好留一下紀念。

🥹🥹另外再提一下韓服有興趣的，我可以再寫一篇韓服的，我也超滿意，這次有賺錢錢了，高級韓服跟髮飾直接配好配滿～～～",travel,5,mnbvcxzlkh,F,Littlepoppet
7,Dcard,https://www.dcard.tw/f/travel/p/255338973,2024-04-22 10:17:14,#國外遊記 #國外旅遊 首爾6天5夜自由行🇰🇷,"這次依然搭乘家人的順風車到韓國放風～但我決定自己先來晃晃順便見見朋友👫

Day1 成田-仁川-弘大-明洞-江南
住宿：Airbnb 
由於前面3天只有我跟我朋友所以就沒住飯店選擇住Airbnb
但Airbnb沒有特別推薦所以就不放上來了
感想是下次乖乖住飯店不要在那邊省錢^ ^

這次搭的是ANA旗下的LCC航空Air Japan 
去年才正式開始營運的！
選用的是波音787所以算是很新的機型

有USB跟Type-C兩種充電孔


座位採3-3-3佈局的

降落仁川後我選機場巴士到弘大
因為不用上上下下搬行李我覺得挺方便的

單程17000Won




到弘大以後我去寄行李因為Airbnb還不能check in 
寄完後就飄到明洞大使館換錢

當天匯率供參考哈哈哈

隨便吃點東西咖啡廳休息後就去江南弄頭髮跟朋友會合

變身中( 髮廊是 Juno Hair)
有點像小林髮廊（？韓國連鎖的那種

變身後ㄉ完成圖^ ^？
這次跟髮型師溝通要down perm （應該就是燙貼？）
結果就普普後面幾天完全沒辦法抓成這樣手太笨（髮型師有教只能說師父領進門 修行在個人🥹）

弄完頭髮後就回弘大吃bhc炸雞
然後就拍了一些拍貼機

順路吃了金針菇接受的王家糖葫蘆
頗貴4000多乖乖回台灣吃🫥

Bhc的招牌-起司+優格口味
其實還蠻好吃的很推薦欸



一個人拍真的好尷尬😅😇😩

Day2 
Ugly bakery-不知名法式吐司-不知名辣炒年糕餐廳-回飯店睡覺-蠶室跟朋友會面-弘大拍貼機跟夜店

Ugly bakery 
本地同學強力推薦的麵包店
麵包店竟然要排隊30分鐘以上？
但身為排隊名族aka台灣人怎麼能不給他排下去

有一說一這麵包真的很好吃
麵包體嚼到後面會有酵母的香味



續命mega coffee 

整間店只有我一個外國人的冷麵店

來唱個K

Free entrance 加減去一下

沒對焦的clubbing圖
人沒有我想像中那麼多
店家有點飢餓行銷在外面排了超過20分鐘結果舞池裡大概只有6成滿
喝完酒隨便跳一下就回家了

Day3 
Airbnb check out - 附近咖啡廳吃早餐-首爾智選酒店check in - 弘大附近走走-飄到狎鷗亭逛逛-跟朋友吃晚餐-回弘大迎接金主❤️‍🔥

這家是唯一一間超過10:30營業的咖啡廳所以沒什麼選擇的餘地默默飄來這兒

在日本常常網購他們家的衣服
終於讓我逛到實體店了

不知名午餐隨便吃吃

CJ買的解酒果凍網路上好像蠻有名的？

這次入住的飯店我覺得不錯
網路上聲量也不錯
空間不錯而且設施很新
前台態度親切非常推薦
唯一不優的是早餐我覺得蠻難吃的哈哈

Aland 步行10分鐘內的距離不粗不錯
先試穿幾件等金主來再來消費(◐‿◑)﻿

腦波弱買了兩件哈哈
但真的好好看🫠不買有點對不起自己


晚餐朋友請客阿姆阿姆好好粗(⁎⁍̴̛ᴗ⁍̴̛⁎)


新的Jennie

Day4 飯店早餐-回籠覺-望遠市場-Ugly Bakery (Again) -回飯店午覺-豬腳小姐-回飯店休息
跟爸媽行程都超廢哈哈哈哈
主打一個輕鬆自在路線（我很滿意）

排隊名店（對我們家也很愛排隊）
刀削麵很Q湯頭也很好喝
炸醬麵也很好吃推推！

又回到麵包店買麵包
真的好好吃🥹🥹

豬腳小姐（我不愛吃豬腳所以沒有吃很多）


Day 5 
弘大-首爾站的樂天超市-弘大馬鈴薯湯-回飯店睡午覺-明洞逛逛-王妃家烤肉



馬鈴薯排骨湯
我們後面還加點年糕跟泡麵
湯好喝+骨肉超好分離😍

明洞的人潮跟疫情前差不多

沒去過中國所以好奇喝喝看～蠻普的🙂

Day6 早餐-回籠覺-12點退房-附近買買-雪冰-機場


Aland消費不知道滿多少錢會送咖啡
免費美式get


雪冰依然好吃😋

下次見～韓國",travel,0,ch19t6he,M,Nobody.
8,Dcard,https://www.dcard.tw/f/travel/p/255340905,2024-04-22 13:31:21,#徵旅伴 澎湖看煙火！,"想問有人六月份要一起去澎湖看煙火的嗎！
預計6/20-22！目前三個！兩女一男！都是好朋友
希望可以有大學生們一起玩～
可以一起討論行程跟住宿！！
然後九月的第一個禮拜去韓國🇰🇷
想問有沒有人有興趣😆❤️！
韓國希望是女生！
年齡希望18-25大學生都可以🥹我19歲！",travel,9,,F,國立臺北商業大學
9,Dcard,https://www.dcard.tw/f/travel/p/255353007,2024-04-23 16:58:07,#國外遊記 #韓國畢旅行程推薦 #釜山褓母級 4天3夜小旅行 馬上出發都可以!! #韓國觀光公社FUN畢旅,"大家好，我是kiki~
大學時曾到韓國交換學生一年！
中間放寒假時有到釜山打工換宿一個月
因此到了滿多景點玩過～

這篇結合近幾年比較夯的活動
想分享給大家😆
順便當成我下半年度預計去釜山玩的規劃～
希望大家看的愉快～❤️
有任何疑問也歡迎一起討論分享🥰


〈〈規劃大綱〉〉

DAY 1 : 桃園-釜山晚上班機抵達 > 西面站住宿 > 晚餐 豬肉湯飯
DAY 2 : 方案一👉2024/6/8 釜山BOF(人生必看演唱會)
             方案二👉 一日追劇之旅 - 三流之路拍攝地
DAY 3 : 甘村文化村(拍學士服 或 搭配 KKDAY 韓服/校服租借 ) > 午餐 甘村文化村內 小吃(EX: 炸雞、魚糕、咖啡廳...) > 釜山塔 拍學士服 > 晚餐 韓國傳統炸豬排
DAY 4 : 金剛部隊鍋 > 太宗臺 > 回台


-----------以下正文-----------

// DAY 1 - 晚上班機到釜山 飯店放行李 //

💛 住宿 - Blue Backpackers Hostel (西面站1號出口步行13分)
名字: 블루백팩커스호스텔 게스트하우스
地址: 부산 부산진구 신천대로102번길 8-8


(地鐵至住宿的路線圖)



*可能是離地鐵比較遠的關係, 當時找這間找得有點久.
*但是老闆很親切, 大廳布置的很漂亮, 房間也滿大的
*缺點是隔音比較差 


(當時拍的照片找不到, 此為取自booking.com)


https://www.booking.com/Share-RVtpHY

2024/4/23為基準房價
雙人房一晚 58000 韓幣(約台幣1450. 平均一人725台幣. 非常划算!!!)

https://sticker-assets.dcard.tw/images/8bde4d2b-a06c-4c9e-8e9c-36bfa4c59420/orig.png

放完行李 先衝湯飯一條街吃晚餐囉~來釜山不可以不吃的就是湯飯啦!

https://sticker-assets.dcard.tw/images/895343ef-e5d2-422d-96f1-4b1622b449e1/orig.png

💛 浦項豬肉湯飯(西面站 1號出口)
店名: 포항돼지국밥
地址: 부산 부산진구 서면로68번길 27 포항돼지국밥
營業時間: 早上5:00~21:40(21:10最後點餐)

(2018親自拍攝)

原本6500韓幣(約162台幣)就可以吃到豬肉湯飯
2024年今日, 漲到9000韓幣(約225台幣)啦~~ㅜㅜ
https://sticker-assets.dcard.tw/images/6a1b2745-54bf-4488-ba84-fe1541217f50/full.png

(取自naver 店家포항돼지국밥)


💛 樂天百貨 (平日 20:00休息/ 假日20:30 休息)
吃完湯飯還有體力/時間的同學們可以到隔壁樂天百貨逛逛唷~




// DAY 2 : 方案一 👉2024/6/8 釜山BOF(人生必看演唱會) //
 



⭐ 來看看有沒有你們家本命吧^^ ⭐

我是D&E~~~~~>///////<
有誰也是 留言+1~~~~
https://sticker-assets.dcard.tw/images/c63e532b-4177-462b-95fb-bf6424e43739/full.png



更多資訊: 
https://www.instagram.com/p/C6GZp7NJfYI/?igsh=NGdtempqaHk1emFt

📢時間對不上沒關係
隨時都可以來的韓劇拍攝地一定要走訪一趟🔥


方案二👉 一日追劇之旅 - 三流之路拍攝地

有誰也是朴敘俊, 金智媛粉絲😍
走訪一趟拍攝地, 回憶下劇情吧~~


💛  1. 일광해수욕장 日光海水浴場
地址: 동해선 일광역 1번출구 （東海線 日光站 1號出口）




(取自: 
https://creatrip.com/blog/1449)

💎到那邊記得去旁邊一棟很大間, 風景很棒的咖啡廳☕

店名: 투썸플레이스 - 기장일광해변점카페
地址: 부산 기장군 일광읍 기장해안로 1290


(非常寬敞呀~~)
https://sticker-assets.dcard.tw/images/98a38551-2e92-4fd0-b8e9-14552e030ce1/full.png

(戶外區一點都不馬虎, 布置得很漂亮!!)
https://sticker-assets.dcard.tw/images/1a496bbf-b1bc-402e-b1d2-bba20d62c132/orig.png
(取自NAVER 評論區)


💛  2. 住的家
地址: 부산광역시 남구 문현동 산96-9 (한성주택)


(
https://creatrip.com/blog/1449)
- 2017




(
https://m.blog.naver.com/comichouse3603/223349659086)
- 2024

雖然可能不像7年前那麼漂亮了, 但實際走訪一趟感覺是不錯的體驗.
上面部落客2024年走訪完, 最後他說

: 這裏是拍照就會很帥氣的虎川村拍攝地！

如果還有發現這種古老的小區，還想去看看^^




💛  3. 晚餐吃鰻魚
店家: 제일산꼼장어
地址: 부산 중구 자갈치해안로 65

大家也知道釜山海鮮很有名, 來釜山一定要安排吃鰻魚阿~~



取自: 
https://90sgirls.com/hometownflex-busan/#%E5%8D%97%E6%B5%A6%EF%BD%9C%E6%9D%8E%E6%96%BD%E5%BD%A5%E6%8E%A8%E8%96%A6%E7%9A%84%E6%9C%AD%E5%98%8E%E5%85%B6%E5%B8%82%E5%A0%B4%E7%BE%8E%E9%A3%9F%EF%BC%9A%E7%AC%AC%E4%B8%80%E6%B4%BB%E7%9B%B2%E9%B0%BB%EC%A0%9C%EC%9D%BC%EC%82%B0%EA%BC%BC%EC%9E%A5%EC%96%B4)


💛  4. 看夜景 남일바(南日BAR)
實際NAVER地名: 호천문화플랫폼복합 문화공간
地址: 부산 부산진구 엄광로 491



(
https://creatrip.com/blog/1449)
- 2017


還是很浪漫耶~~~
https://sticker-assets.dcard.tw/images/21ef4c9a-34eb-4984-81b1-0a379d733f30/orig.png
 (取自NAVER評論區) - 2024

總結:
一天要去玩這四個景點是OK的, 但可能會因為等車換車而很累
發現CREATRIP真的很貼心!! 竟然推出12小時包車服務!! 
想去哪就去哪, 自己規劃行程, 超適合追星, 想去很多景點的人啊~
https://sticker-assets.dcard.tw/images/7f53cca4-4aaf-429a-8723-437e45e5946c/orig.png



📢KKDAY 連結
https://www.kkday.com/zh-tw/product/163979?cid=11768&ud1=detail-share&ud2=app-android

🔥 訂購時, 記得輸入大學生優惠碼, 有優惠唷!!


💰價錢部分: 
最少是4人包車, 台幣4240
平均一人1060台幣!! 超級划算!! 
而且不用自己汗流浹背找車, 等車, 還有中文導覽!!
下次去釜山我一定要安排這個景點~~
https://sticker-assets.dcard.tw/images/b826cf74-c055-45e3-90fb-ef3bcf07dbda/orig.png


// DAY 3 : 甘村文化村 //

| 甘村文化村 |

💛 交通
搭地鐵1號線到「土城站（토성）」6號出口步行3分鐘到釜山大學醫院旁的
「釜山大學醫院（부산대학교병원）公車站」

1-1、2或2-2 這三台小巴都可以上山，於「甘亭小學站（감정초등학교）站」下車


💛 KKday限定特價｜韓服體驗｜釜山甘川文化村 服飾租借 
✅ 即買即用, 1天前可免費取消
📢 
https://www.kkday.com/zh-tw/product/135365
(입고가게: 부산 사하구 감내2로 180-1/ 甘川文化村入口僅1分鐘路程) 




特色:
🌸多樣的男女士韓服及兒童韓服，加上免費韓服髮型設計及配飾

🌸甘川文化村最大的校服／韓服出租店，在屋頂一覽甘川文化村的全景

 
💛 沿途開始拍照囉(學士服穿上~~/或是租借的韓服/校服多拍點~~)



(當時去的時候看到跟小王子拍照需要排隊就沒拍了, 超後悔!!><”不管等多久 大家一定要拍阿~~)
🔥特別是穿上學士服或是韓服拍照, 超級有紀念價值!!


| 釜山塔 |

💛交通
搭2-2公車回土城地鐵站 > 往1號出口一直直走到大十字路口, 看到信用協同銀行(신협)後右轉
搭40號公車👇


國際市場. 釜山近代歷史館下車 > 步行8分到達


(💌 溫馨提醒 ~地鐵下站後要走16分以上才到的了釜山塔, 所以建議搭公車喔~)

 
💛 開始拍照囉(學士服再次穿上~~)


(首爾有首爾塔/ 釜山有釜山塔)

學士服紀念照>//< (當時太不會比姿勢了XDD)


💛 晚餐 李勝學豬排
店名: 이승학돈까스 본점
地址: 부산 중구 광복중앙로 12 2층 이승학돈까스
營業時間: 11:00~21:00(每周日公休)

有在看韓國電視劇/綜藝節目就知道 
韓國人爬完山一定要吃豬排!!!
跟大家推薦一間我下次一定要去的15年老店炸豬排

看NAVER有4.5顆星, 2000多則評論!!



📢韓國傳統炸豬排跟台灣常看到的日式炸豬排不太一樣
是一整片沒有切, 醬直接淋在上面的, 大家一定要試試看~~
https://sticker-assets.dcard.tw/images/1fce248b-db7e-4d96-aa93-7370f2eb9c1e/orig.png

(取自NAVER 評論區)
 
用餐環境也明亮 乾淨的感覺~

(取自NAVER 評論區)


// DAY 4 : 金剛部隊鍋 > 太宗臺 > 回台 //

💛 金剛部隊鍋(11點營業)
店名: 킹콩부대찌개 (서면롯데점)
地址: 부산 부산진구 가야대로784번길 46-1

(飯店出發, 走路7分鐘)


*有基本(比較不辣)和辣味可以選擇
*只要每人點一個主餐就享有白飯和拉麵吃到飽~~!!
*台幣250左右就能夠享用, 超級推薦!!
https://sticker-assets.dcard.tw/images/895343ef-e5d2-422d-96f1-4b1622b449e1/orig.png

(2018親自拍攝)


 | 太宗臺 | 

💛 交通: 部隊鍋吃完, 走去西面公車站搭乘88號公車(如下路線)


搭上88號公車後在 ""太宗臺.太宗臺溫泉"" 下車(如下路線)


 總車程約54分鐘(如下路線)



(2018年 因為是下午才出發, 所以天色比較暗)



📢建議早點出發可以逛比較久, 以下為NAVER截圖畫面
那邊真的很漂亮, 在那邊散步拍照真的很愜意^^ 

https://sticker-assets.dcard.tw/images/b4d24722-22f7-448b-9ce5-716a419e625c/orig.png


回程一樣可以搭乘88號公車回西面唷~~



回西面後就可以收拾行李準備去搭飛機回台灣啦~~

希望有幫助到大家釜山的旅行規劃~~

在此祝福大家每次旅行都順利、平安、開心~~掰掰~~~

https://sticker-assets.dcard.tw/images/d0764c8b-f751-44ed-a719-51fce3089b3f/orig.png",travel,0,kikizhang,F,kiki
10,Dcard,https://www.dcard.tw/f/travel/p/255350946,2024-04-23 13:34:20,#請益 香港入境護照核對照片的嚴謹程度,"因為護照過期
這次去嘗試了韓式證件照
結果拍完的成品身邊朋友都說美化太嚴重🫠

因為我本身微笑的時候嘴角角度會一邊偏高
還有一點大小眼
還有因為臉頰肉多所以有些法令紋🥲

這些 都被 修沒了
（法令紋我說淡化就好了結果直接不見）

整個臉的比例就變得比較完美（？
有先問過在旅行社上班的朋友說還好
畢竟基本的耳朵眉毛五官要件都齊全
但去過香港的同事也是有人說海關看照片偏嚴😭
搞得我現在超怕到時候出入境過不了

想請問各位去過香港的能不能分享一下香港的入境對於護照照片的標準大概在什麼程度
還是說現在香港跟日本韓國一樣用指紋跟人臉辨識了？
謝謝各位🥹🥹",travel,19,syc929,F,香菜麻糬
