system_id,word,ner
1,中鋼,ORG
1,數萬,CARDINAL
1,萬,CARDINAL
1,中鋼,ORG
1,今年,DATE
1,千,CARDINAL
1,今年,DATE
1,萬,CARDINAL
1,十年,DATE
1,今年,DATE
1,今元,MONEY
1,兩頭賺,MONEY
1,兩,CARDINAL
1,兩,CARDINAL
1,中鋼,ORG
1,中鋼,ORG
1,萬,CARDINAL
1,萬,CARDINAL
1,萬,CARDINAL
1,中鋼,ORG
1,中鋼,ORG
1,中鋼,ORG
1,五年,DATE
1,這幾年,DATE
1,千,CARDINAL
1,今年,DATE
1,二,CARDINAL
1,千萬,CARDINAL
1,前年,DATE
1,近年,DATE
1,第關,ORDINAL
1,年前季,DATE
1,近年,DATE
1,年前季,DATE
1,三,CARDINAL
1,十年月,DATE
1,十年,DATE
1,近元,MONEY
1,這十年,DATE
1,十年,DATE
1,兩,CARDINAL
1,兩,CARDINAL
2,月月,DATE
2,臺灣,NORP
2,月月,DATE
2,月日,DATE
2,臺灣,GPE
2,月月,DATE
2,月日,DATE
2,兩,CARDINAL
2,台灣,GPE
2,美國,GPE
2,王文良,PERSON
2,王文良,PERSON
2,月月,DATE
3,萬餘元,MONEY
3,萬元,MONEY
3,萬元,MONEY
3,約萬元,MONEY
3,萬元,MONEY
3,萬元,MONEY
3,萬元,MONEY
3,金萬元,MONEY
3,萬元,MONEY
4,台灣,NORP
4,",億元",MONEY
4,萬,CARDINAL
4,月日,DATE
4,十,CARDINAL
4,中,GPE
4,美,GPE
4,十,CARDINAL
4,",億元",MONEY
4,萬,CARDINAL
4,三,CARDINAL
4,二,CARDINAL
4,三,CARDINAL
4,台灣,GPE
5,今天,DATE
5,明天,DATE
5,謝金河,PERSON
5,歐股,LOC
5,歐洲,LOC
5,丹麥瑞典荷蘭,GPE
5,法,GPE
5,下點天,DATE
5,德國,GPE
5,歐洲,LOC
5,近年,DATE
5,亞洲,LOC
5,日,GPE
5,本,GPE
5,印,GPE
5,日,GPE
5,印,GPE
5,萬千點,QUANTITY
5,謝金河,PERSON
5,台灣,GPE
5,台灣,GPE
5,今天明天,DATE
5,今天,DATE
5,明天,DATE
5,過去年,DATE
5,中國,GPE
5,台灣,NORP
5,台灣,GPE
5,台灣,GPE
5,中,GPE
5,台灣,GPE
5,這些年,DATE
5,這年,DATE
5,台灣,NORP
5,台灣,GPE
5,台灣,GPE
5,台灣,GPE
5,謝金河,PERSON
5,黃仁勳,PERSON
5,台灣,GPE
5,黃仁勳,PERSON
5,台灣,GPE
5,台灣,GPE
5,謝金河,PERSON
5,台灣,GPE
6,上周五日,DATE
6,億元億元,MONEY
6,超億元,MONEY
6,台灣,GPE
6,周,PERSON
6,張長榮,PERSON
6,張東元,PERSON
6,張寶成,PERSON
6,張神達,PERSON
6,張上海,PERSON
6,張統,PERSON
6,張,PERSON
6,張英,PERSON
6,張佳世達,PERSON
6,張新光金,PERSON
6,張東元,PERSON
6,張,PERSON
6,張,PERSON
6,東元,MONEY
7,月底前,DATE
7,珮,PERSON
7,今年月底前,DATE
7,第四,ORDINAL
7,第二,ORDINAL
7,第六,ORDINAL
7,第項,ORDINAL
7,第款,ORDINAL
7,第三,ORDINAL
7,金管會,ORG
7,三,CARDINAL
7,今年月底前,DATE
8,億元,MONEY
8,月日,DATE
8,億元,MONEY
8,億元,MONEY
8,台灣,GPE
8,華,GPE
8,美國,GPE
8,蔡明翰,PERSON
8,安,PERSON
8,台股團隊,ORG
9,台灣,GPE
9,台灣,GPE
9,台灣,NORP
9,今天,DATE
9,元元元元,MONEY
9,月日,DATE
10,珮,PERSON
10,四月,DATE
10,四月,DATE
10,兩,CARDINAL
10,兩,CARDINAL
10,四月,DATE
10,華,GPE
10,台灣,GPE
10,美國,GPE
10,十,CARDINAL
10,兩,CARDINAL
10,法,GPE
10,下月,DATE
10,鴻海鈊,PERSON
10,瑞儀,ORG
10,日月,DATE
10,光臻鼎,PERSON
10,月單月,DATE
10,鴻海廣,PERSON
10,日月,DATE
10,鴻海,PERSON
10,瑞儀,ORG
10,日月,DATE
10,兩,CARDINAL
10,台灣,GPE
10,台灣,NORP
10,三,CARDINAL
10,台灣,NORP
10,凱基,PERSON
10,第二,ORDINAL
10,第二,ORDINAL
10,來個月,DATE
10,年底到明年,DATE
10,第二,ORDINAL
10,三,CARDINAL
11,寶集團,ORG
11,陳盛沺,PERSON
11,今周,DATE
11,唐,PERSON
11,台灣,GPE
11,寶集團,ORG
11,んこ,GPE
11,台,GPE
11,陳盛沺,PERSON
11,今周,DATE
11,日,GPE
11,新北市,GPE
11,二,CARDINAL
11,多年,DATE
11,日,GPE
11,んこ,GPE
11,第個,ORDINAL
11,台灣,GPE
11,台灣,GPE
11,掌門人聲寶集團,ORG
11,陳盛沺,PERSON
11,台灣,GPE
11,現年歲,DATE
11,陳盛沺,PERSON
11,今周,DATE
11,陳盛沺,PERSON
11,台灣,GPE
11,台灣,GPE
11,日方,NORP
11,莞固,PERSON
11,今年初,DATE
11,莞固,PERSON
11,台灣,GPE
11,台北市,GPE
11,台南安平,PERSON
11,陳盛沺,PERSON
11,陳盛沺,PERSON
11,今年,DATE
11,桃園,GPE
11,台南,LOC
11,陳盛沺,PERSON
11,台灣,NORP
11,日,GPE
11,莞固,PERSON
11,日,GPE
11,百多,CARDINAL
11,莞固,PERSON
11,日,GPE
11,莞固,PERSON
11,日,GPE
11,台灣,GPE
11,莞固,PERSON
11,日,GPE
11,台灣,GPE
11,百元,MONEY
11,數千元,MONEY
11,千萬元,MONEY
11,陳盛沺,PERSON
11,近年,DATE
11,陳盛沺,PERSON
11,莞固,PERSON
11,陳盛沺,PERSON
11,鄭華娟,PERSON
12,日,GPE
12,四,CARDINAL
12,半碼,QUANTITY
