system_id,word,pos
1,達,VJ
1,人,Na
1,提醒,VE
1,存,VC
1,錯,VH
1,股,Na
1,票,Na
1,，,COMMACATEGORY
1,可,D
1,能,D
1,利息,Na
1,價,Na
1,差,VH
1,都,D
1,雙,A
1,輸,VD
1,示,VE
1,意,Na
1,圖,Na
1,/,FW
1,達,VJ
1,志,Na
1,影,Na
1,像,VG
1,/,FW
1,根據,P
1,集,VC
1,保,VC
1,中,Ng
1,心,Na
1,統計,VC
1,，,COMMACATEGORY
1,中,Ncd
1,鋼,Na
1,總,A
1,股,Na
1,東,Ncd
1,人,Na
1,數,Neu
1,萬,Neu
1,人,Na
1,，,COMMACATEGORY
1,比,P
1,台,Nc
1,積,VJ
1,電,Na
1,萬,Neu
1,人,Na
1,還,Dfa
1,高,VH
1,，,COMMACATEGORY
1,加,VC
1,上,Ng
1,背,Na
1,後,Ncd
1,官,Na
1,股,Na
1,色彩,Na
1,，,COMMACATEGORY
1,直,D
1,受,P
1,存,VC
1,股,Na
1,族,Na
1,青睞,VI
1,，,COMMACATEGORY
1,但,Cbb
1,根據,P
1,中,VJ
1,鋼,Na
1,宣布,VE
1,今,Nd
1,年,Nf
1,配,VD
1,息,Na
1,，,COMMACATEGORY
1,卻,D
1,讓,VL
1,許,Nb
1,多,Neqa
1,仰,VC
1,賴,VK
1,配,VD
1,息,Na
1,支,Nf
1,撐,VC
1,生活,Na
1,的,DE
1,退休,VH
1,族,Na
1,收入,Na
1,瞬,Nf
1,間,Ng
1,縮,VA
1,水,Na
1,，,COMMACATEGORY
1,玩,VC
1,股,Na
1,網,Na
1,專,VH
1,欄,Na
1,作,VC
1,家,Nc
1,玩,VC
1,股,Na
1,小,VH
1,博士,Na
1,表示,VE
1,，,COMMACATEGORY
1,存,VC
1,有,V_2
1,千,Neu
1,張,Nf
1,中,VJ
1,鋼,Na
1,，,COMMACATEGORY
1,在,P
1,年,Na
1,可,D
1,以,P
1,風,Na
1,光,Da
1,領,VC
1,息,Na
1,超,VJ
1,過,VCL
1,萬,Neu
1,，,COMMACATEGORY
1,但,Cbb
1,今,Nd
1,年,Na
1,僅,Da
1,剩,VJ
1,萬,Neu
1,，,COMMACATEGORY
1,提醒,VE
1,退休,VH
1,族,Na
1,，,COMMACATEGORY
1,存,VC
1,股,Na
1,存,VC
1,到,P
1,景,Na
1,氣,Na
1,循環,Na
1,股,Na
1,，,COMMACATEGORY
1,這,Nep
1,就,D
1,會,D
1,是,SHI
1,下,Nes
1,場,Nf
1,退休,VH
1,族,Na
1,講,VE
1,究,VE
1,的,DE
1,是,SHI
1,配,VC
1,息,Na
1,穩定,VHC
1,，,COMMACATEGORY
1,玩,VC
1,股,Nf
1,小,VH
1,博士,Na
1,表示,VE
1,，,COMMACATEGORY
1,要,D
1,想,VE
1,買,VC
1,到,P
1,穩定,VHC
1,獲,VJ
1,利,Na
1,配,VD
1,息,Na
1,的,DE
1,個,Nf
1,股,Na
1,有,V_2
1,大,VH
1,條,Nf
1,件,Nf
1,每,Nes
1,年,Nf
1,配,VC
1,息,Na
1,穩定,VHC
1,持,VC
1,平,VH
1,或,Caa
1,成,VG
1,長,VH
1,配,VC
1,息,Na
1,年,Na
1,數,Na
1,高,VH
1,獲,VJ
1,利,Na
1,及,Caa
1,股,Na
1,價,Na
1,穩定,VHC
1,往,P
1,上,Ncd
1,走,VA
1,他,Nh
1,點,VC
1,名,A
1,家,Nc
1,老,VH
1,牌,Na
1,股,Na
1,關,VC
1,貿,Na
1,東,Ncd
1,元,Nf
1,和,Caa
1,崇,VJ
1,越,Nc
1,，,COMMACATEGORY
1,前,Ncd
1,大,VH
1,條,Nf
1,件,Nf
1,家,Nc
1,都,D
1,符合,VJ
1,，,COMMACATEGORY
1,但,Cbb
1,只,Da
1,有,V_2
1,關,VC
1,貿,Na
1,在,P
1,過,VCL
1,去,VCL
1,年,Nf
1,疫情,Na
1,重,VH
1,創,VC
1,經濟,Na
1,時,Ng
1,，,COMMACATEGORY
1,獲,VJ
1,利,Na
1,依,P
1,然,Cbb
1,往,P
1,上,Ncd
1,走,VA
1,背,Na
1,後,Ncd
1,有,V_2
1,大,VH
1,股,Nf
1,東,Ncd
1,財政,Na
1,部,Nc
1,支,VC
1,撐,VC
1,的,DE
1,關,VC
1,貿,Na
1,，,COMMACATEGORY
1,過,VCL
1,去,VCL
1,十,Neu
1,年,Nf
1,不,D
1,斷,VHC
1,竄,VA
1,升,VA
1,，,COMMACATEGORY
1,從,P
1,元,Nd
1,成,VG
1,長,VH
1,至,P
1,去,VCL
1,年,Nf
1,元,Nd
1,，,COMMACATEGORY
1,股,Na
1,息,Na
1,則,D
1,從,P
1,元,Nd
1,到,P
1,今,Nd
1,年,Nf
1,配,VD
1,息,Na
1,元,Nf
1,，,COMMACATEGORY
1,而,Cbb
1,股,Na
1,價,Na
1,則,D
1,從,P
1,元,Nf
1,至,P
1,如,P
1,今,Nd
1,元,Nf
1,，,COMMACATEGORY
1,想,VE
1,要,VC
1,股,Na
1,息,Na
1,價,Na
1,差,VH
1,兩,Neu
1,頭,Nf
1,賺,VC
1,的,DE
1,投資,VC
1,人,Na
1,，,COMMACATEGORY
1,就,D
1,要,D
1,考慮,VE
1,這,Nep
1,種,Nf
1,安全,VH
1,有,V_2
1,吃,VC
1,又,D
1,有,V_2
1,拿,VC
1,的,DE
1,個,Nf
1,股,Na
1,以,P
1,下,Ncd
1,是,SHI
1,玩,VC
1,股,Nf
1,小,VH
1,博士,Na
1,的,DE
1,文,Na
1,章,Na
1,分,D
1,享,VJ
1,根據,P
1,大,VH
1,數,Na
1,據,P
1,統計,Na
1,，,COMMACATEGORY
1,國,Nc
1,內,Ncd
1,投資,VC
1,人,Na
1,越,D
1,年,Na
1,輕,VH
1,買,VC
1,越,D
1,多,VH
1,，,COMMACATEGORY
1,但,Cbb
1,真,D
1,正,VH
1,的,DE
1,退休,VH
1,族,Na
1,則,D
1,買,VC
1,個,Di
1,股,Na
1,，,COMMACATEGORY
1,雖然,Cbb
1,兩,Neu
1,者,Na
1,差,VH
1,異,VH
1,大,VH
1,，,COMMACATEGORY
1,不,D
1,過,VCL
1,兩,Neu
1,者,Na
1,的,DE
1,共,Da
1,同,Nes
1,點,Na
1,都,D
1,是,SHI
1,高,VH
1,股,Na
1,息,Na
1,無,VJ
1,腦,Na
1,買,VC
1,高,VH
1,股,Nf
1,息,Na
1,，,COMMACATEGORY
1,這,Nep
1,投資,Na
1,相,Na
1,對,VC
1,簡單,VH
1,，,COMMACATEGORY
1,但,Cbb
1,如果,Cbb
1,真,VH
1,的,DE
1,想,VE
1,要,D
1,退休,VH
1,，,COMMACATEGORY
1,推出,VC
1,時,Ng
1,間,Ng
1,過,Dfa
1,短,VH
1,，,COMMACATEGORY
1,恐,VK
1,怕,VK
1,不,D
1,被,P
1,退休,VH
1,族,Na
1,所,D
1,信,VK
1,任,VL
1,，,COMMACATEGORY
1,因,Cbb
1,此,Nep
1,還,D
1,是,SHI
1,多,D
1,買,VC
1,高,VH
1,股,Nf
1,息,Na
1,的,DE
1,個,Nf
1,股,Na
1,居,VG
1,多,VH
1,但,Cbb
1,話,Na
1,又,D
1,說,VE
1,回,Nf
1,來,T
1,，,COMMACATEGORY
1,台,Nc
1,股,Na
1,股,Na
1,民,Na
1,買,VC
1,最,Dfa
1,多,VH
1,的,DE
1,就,D
1,是,SHI
1,中,VJ
1,鋼,Na
1,，,COMMACATEGORY
1,根據,P
1,最,Dfa
1,新,VH
1,集,Na
1,保,VC
1,庫存,Na
1,數,Na
1,據,P
1,顯示,VK
1,，,COMMACATEGORY
1,目,Na
1,前,Ncd
1,中,Ncd
1,鋼,Na
1,總,A
1,股,Na
1,東,Ncd
1,數,VC
1,高,VH
1,達,VJ
1,萬,Neu
1,人,Na
1,，,COMMACATEGORY
1,遠,Dfa
1,高,VH
1,於,P
1,台,Nc
1,積,VJ
1,電,Na
1,的,DE
1,萬,Neu
1,人,Na
1,其,Nep
1,中,Ncd
1,持,VC
1,股,Na
1,低,VH
1,於,P
1,張,Nf
1,的,DE
1,散,VH
1,戶,Nf
1,高,VH
1,達,VJ
1,萬,Neu
1,人,Na
1,，,COMMACATEGORY
1,佔,VJ
1,整體,Na
1,股,Na
1,權,Na
1,另,Nes
1,持,VC
1,股,Na
1,張,Nb
1,以,P
1,上,Ncd
1,的,DE
1,大,VH
1,戶,Nf
1,則,D
1,有,V_2
1,人,Na
1,，,COMMACATEGORY
1,共,Da
1,持,VC
1,股,Na
1,散,VH
1,戶,Na
1,甚,Dfa
1,至,P
1,還,D
1,定,VC
1,期,VK
1,定,VC
1,額,Na
1,持續,VL
1,買,VC
1,進,VC
1,，,COMMACATEGORY
1,不,D
1,過,VCL
1,震撼,VJ
1,的,DE
1,消息,Na
1,來,VA
1,了,Di
1,，,COMMACATEGORY
1,以,P
1,中,VJ
1,鋼,Na
1,作,VC
1,為,P
1,退休,VH
1,族,Na
1,領,VC
1,股,Na
1,息,Na
1,來,D
1,說,VE
1,，,COMMACATEGORY
1,年,Na
1,公布,VE
1,股,Na
1,息,Na
1,將,D
1,配,VC
1,發,VD
1,元,Nf
1,，,COMMACATEGORY
1,年,Na
1,僅,Da
1,元,Nf
1,，,COMMACATEGORY
1,如果,Cbb
1,只,Da
1,靠,VJ
1,中,VJ
1,鋼,Na
1,退休,VH
1,不,D
1,就,D
1,危險,VH
1,了,T
1,中,Ncd
1,鋼,Na
1,歷,VJ
1,年,Na
1,股,Na
1,利,VH
1,政策,Na
1,及,Caa
1,除,P
1,權,Na
1,息,Na
1,覽,VC
1,表,Na
1,如果,Cbb
1,從,P
1,過,VCL
1,去,VCL
1,五,Neu
1,年,Nf
1,股,Nf
1,息,Na
1,來,D
1,看,VE
1,，,COMMACATEGORY
1,年,Na
1,配,VC
1,發,VC
1,元,Nf
1,僅,Da
1,高,VH
1,於,P
1,年,Na
1,，,COMMACATEGORY
1,年,Na
1,配,VC
1,息,Na
1,還,D
1,有,V_2
1,元,Nf
1,，,COMMACATEGORY
1,隨,P
1,後,Ncd
1,呈現,VJ
1,雪,Na
1,崩,VH
1,式,Na
1,下,Ng
1,滑,VA
1,，,COMMACATEGORY
1,年,Na
1,配,VC
1,息,Na
1,元,Nf
1,，,COMMACATEGORY
1,年,Na
1,配,VC
1,息,Na
1,元,Nf
1,以,P
1,股,Na
1,價,Na
1,來,D
1,看,VE
1,，,COMMACATEGORY
1,是,SHI
1,從,P
1,年,Na
1,高,VH
1,點,Na
1,路,Na
1,下,Ncd
1,滑,VA
1,，,COMMACATEGORY
1,從,P
1,元,Nf
1,以,P
1,上,Ncd
1,到,P
1,目,Na
1,前,Ng
1,不,D
1,到,P
1,元,Nf
1,，,COMMACATEGORY
1,這,Nep
1,等,Cab
1,於,P
1,是,SHI
1,賠,VD
1,了,Di
1,夫,Na
1,人,Na
1,又,D
1,折,VC
1,兵,Na
1,其實,D
1,會,D
1,這樣,VH
1,不,D
1,用,VC
1,意,Na
1,外,Ng
1,，,COMMACATEGORY
1,畢,VH
1,竟,D
1,中,VJ
1,鋼,Na
1,就,D
1,是,SHI
1,官,Na
1,股,Na
1,，,COMMACATEGORY
1,遇,VK
1,到,P
1,物,Na
1,價,Na
1,上,Ncd
1,漲,VH
1,也,D
1,很,Dfa
1,難,VH
1,漲,VH
1,價,Na
1,，,COMMACATEGORY
1,再,D
1,來,D
1,就,D
1,是,SHI
1,集團,Na
1,景,Na
1,氣,Na
1,循,P
1,股,Na
1,性,Na
1,很,Dfa
1,強,VH
1,，,COMMACATEGORY
1,市,Nc
1,場,Nc
1,需,D
1,求,VC
1,強,VH
1,的,DE
1,時,Na
1,候,VC
1,就,D
1,會,D
1,直,D
1,漲,VH
1,，,COMMACATEGORY
1,股,Na
1,息,Na
1,也,D
1,會,D
1,跟,P
1,著,Di
1,多,VH
1,，,COMMACATEGORY
1,但,Cbb
1,遇,VK
1,到,P
1,鋼,Na
1,鐵,Na
1,業,Na
1,景,Na
1,氣,Na
1,蕭,VH
1,條,Nf
1,，,COMMACATEGORY
1,就,D
1,會,D
1,跟,P
1,這,Nep
1,幾,Neu
1,年,Nf
1,的,DE
1,狀況,Na
1,樣,Na
1,，,COMMACATEGORY
1,不,D
1,僅,Da
1,股,Na
1,價,Na
1,下,Ng
1,跌,VA
1,獲,VJ
1,利,Na
1,也,D
1,衰退,VH
1,，,COMMACATEGORY
1,所,D
1,以,P
1,中,VJ
1,鋼,Na
1,其實,D
1,就,D
1,是,SHI
1,要,D
1,操,VC
1,作,VC
1,的,DE
1,波,Na
1,段,Nf
1,景,Na
1,氣,Na
1,股,Na
1,，,COMMACATEGORY
1,而,Cbb
