system_id,sentence
1,美國荷蘭揮組合拳痛擊中國晶片商遭盯上
1,///
1,//
1,新聞記者郭妍希報導
1,美國荷蘭預料今年夏季將接連揮拳重擊中國晶片商，進步限制晶片製造設備出口，以免先進科技遭北京用來強化軍隊實力
1,路透社報導，荷蘭政府計畫本週五日祭出全新法令，對半導體設備巨擘艾司摩爾半導體設備製造及材料供應商國際等本土業者的特定晶片設備設限
1,也就是說，次佳產品線深紫外光微影設備如今也須申請執照才能出口至中國
1,最先進的極紫外光微影設備早已受到管制從未銷陸
1,月曾預測，荷蘭法令將衝擊其等較先進的機台
1,然而，最新消息顯示款式較舊的機台例如也會受波及
1,報導引述消息人士指出，華盛頓當局將在最新禁令言明，外國設備就算只用了少量美國零件，也不得賣給法令中點名的六家中國設施
1,消息稱，荷蘭新規定不會立即生效，預測生效日期應會落在禁令發布的兩個月後，也就是月份
1,另外，根據報導，熟知詳情的消息人士說，美國可能在月下旬公布新規定，業者須申請執照才能把晶片設備出口給六家中國設施，當中包括中芯國際經營的座晶圓廠
1,據消息，業者遞交的執照申請預料都會遭駁回
1,華盛頓禁令勢必會衝擊，因為該公司的設備均內建美國零組件
1,日本政府計畫月起管制種關鍵晶片製造設備出口，加入美國荷蘭禁止先進晶片/設備出口至中國的行列
1,中國業內擔憂，日本禁令涵蓋範圍過廣恐殃及低階晶片，帶來的衝擊比美國禁令嚴重
1,英國金融時報月日報導，檢視過日本禁令細節的名中國晶片廠高層透露，對中國來說，日本出口禁令將比華盛頓去年制裁更加令人困擾
1,據報導，去年月，華盛頓當局限制奈米部分案例為奈米以下晶片生產設備出口至中國
1,然而，日本設備出口禁令連最基礎的奈米晶片也涵蓋在內，當中包括浸潤式微影機台，因為部分技術是生產先進晶片根基
2,荷蘭公司艾司摩爾
2,做半導體的
2,半導體台灣不是世界最頂的嗎
2,荷蘭不是剩文化和觀光了喔
2,紅燈區大麻歷史
2,間半導體公司喊水會結凍
2,在鼻涕大的荷蘭
2,怎麼這麼強
2,卦
3,"荷蘭沒有,沒有高工時，沒有沒有低薪"
3,就是家歐洲公司
3,不用賣新鮮肝，不用過著不像人的生活
3,為什麼艾斯摩爾可以
3,台積電就定得賣肝才能這麼強
4,前陣子經過公館啦
4,應該是電機系的學生
4,我覺得你碩班還是唸電機的好
4,跑去申請物理碩班
4,之後只能要飯不騙你
4,我真的很喜歡理論物理
4,喜歡是回事
4,賺錢是回事
4,真的喜歡，自己在家念就好
4,台積電收電機碩的還是物理碩的多
4,至少我是不會蠢到轉唸物理碩
4,因為我不想要飯
4,兩個年收跟發展差多少啊
4,唸物理只能要飯
5,媒體來源科技新報
5,記者署名林妤柔
5,完整新聞標題
5,半導體競爭力隱憂
5,國內綠電不足，台積電三星等大廠落後歐美對手
5,完整新聞內文
5,台積電三星等亞洲晶片製造商正努力縮小國內碳足跡，但由於國內市場沒有足夠機會獲得
5,可再生能源，所以在減少碳排放的競賽中落後歐美競爭對手
5,台積電董事長劉德音在股東會上表示，台灣綠電發展不夠快，台積電無足夠綠電可用，將影
5,響台灣競爭力
5,目前美國方面他們有長期規劃，並沒有相關的用電問題
5,至於台灣，政府說
5,不會缺電，我們也只能相信政府
5,劉德音指出，全球綠電發展在俄烏戰爭後突然加速，政府可能需要在疫情後重新全面思考台
5,灣的綠電發展，原因是台灣的綠電相較其他地方發展的確比較慢
5,同時，南韓是世界上採購可再生能源最具挑戰性的國家之，三星先前表示企業採購的選擇
5,有限，海力士則稱年使用可再生能源
5,報導認為，可再生能源來源有限，可能
5,使得亞洲製晶片不如美歐製晶片來得環保，這也成為客戶越來越關注的問題
5,環球晶董事長徐秀蘭表示，歐洲客戶對購買用綠能生產的晶圓需求越來越大，這將是長期趨
5,勢，影響公司競爭力，這可能成為你在未來能否獲得訂單的決定性因素，客戶會比較價格
5,品質，以及你的能源是否為綠能
5,然而，台灣日本和南韓要獲得足夠的可再生能源，是相當具挑戰性的事
5,徐秀蘭指出，這
5,些地方人口眾多，要有足夠土地或屋頂空間用於太陽能農場等可再生資源不容易
5,此外，在
5,大多數亞洲國家，要獲取風能和太陽能相當有限，加上地理和外交限制，從其他國家採購可
5,再生能源也不容易
5,可再生能源短缺，恐影響亞洲半導體廠的淨零碳排路線圖
5,據報導，三星台積電和海力士承諾年全球營運中使用可再生能源，英特
5,爾英飛淩和意法半導體的目標是在年前達到相同目標，鎧俠和則是年
5,前完全使用
5,晶片廠和分析師表示，能源組合中可再生能源含量低，以及地區缺乏成熟公認的可再生能
5,源證書，是阻礙亞洲晶片產業追求綠色運營的兩大因素
5,根據數據，台灣年燃煤燃油和天然氣發電占總能源需求，可再生能源僅
5,南韓年可再生能源僅占，核電和化石燃料總計占近
5,至於歐美部分，美
5,國年可再生能源占總電力化石燃料和核能占
5,歐盟年可再生能源占
5,，處於領先地位
5,這種情況可能影響投資，使亞洲供應商從蘋果和微軟等客戶那獲得的訂單面臨風
5,險
5,和碩董事長童子賢表示，台灣到年使用可再生能源的目標遠落後其他國家，對
5,台灣在全球供應鏈中的地位構成風險
5,南韓可再生能源專家說，南韓政府
5,沒有優先考慮擴大可再生能源，這反過來，南韓企業沒有獲得足夠的可再生能源供應，這可
5,能減少他們的競爭力
5,執行副總裁告訴日經，選擇投資地點時，能源採購將是基本標
5,準，隨著時間的推移，綠能成為我們經營業務的個條件，所以選擇地點前，必須先確保
5,能獲得綠能
5,位英飛淩高層表示，歐盟和美國各自是個大經濟體，亞太地區則更分散，使創建統的
5,可再生能源證書市場更困難
5,英飛凌已在歐美業務中實現使用綠能的目標，包括購買
5,可再生能源證書，但在亞太地區還沒達成
