system_id,artCatagory,artTitle,dataSource,artUrl,artDate,artContent
1,娛樂,專訪／從月賺3千到60萬！台灣首位千萬YTR奇軒 親曝漲粉秘訣｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412111,2024-04-16 10:11:00,「我曾經每個月只有賺3千元！」YouTuber奇軒（本名吳奇軒）從武打演員到月收入60萬，不靠著腥羶色、炒話題，更成為台灣首位千萬訂閱的YouTuber，10個月爆漲700萬粉絲數，一夕爆紅卻遇上「買粉絲」爭議，奇軒崩潰大呼「像是地獄」，他接受東森新聞專訪火辣回擊，更首度曝光邁向千萬訂閱的3大原因！奇軒開始學武術，起源於小時候愛看武打片，「看到成龍就覺得武術好帥喔！」奇軒提到，國中時為了報名學校的武術社團，甚至瞞著阿嬤到處打工洗盤子，存錢繳學費。為了讓自己變得更強，奇軒除了吃飯以外都在練習武術，一練就是到半夜，「我永遠是最早去，最晚走的。」本著成為「武打明星」的初衷，奇軒先是擔任動作片特技演員，到處參演領著月收僅僅3千元的薪水，卻做著最危險的工作「跳海、跳樓、被車撞、火燒，我們都要做。」奇軒分享，自己曾經因為接太多武打工作，整整3天沒睡覺，「我累到眼睛一閉上就可以睡著，但在當下我還是很享受武打的。」國、高中時期，他拿下許多武術比賽冠軍後，開始思考武術帶來的人生規劃，大學意外接觸到與武術結合的Tricking（極限特技、武術特技），「跟武術比起來，又更自由、更解放的感覺。」於是奇軒便沈浸在挑戰高難度動作，他提到自己的招牌動作是「兩圈轉體加單槓後空」，目前在Tricking圈裡沒有其他人成功過，熱愛武術與Tricking的心，在言談中盡顯無疑。成為千萬訂閱的YouTuber，絕對不是奇軒預想到的，「完全是誤打誤撞。」剛開始接觸影音社群，奇軒單純只想紀錄自己練習Tricking的過程，但前幾年都乏人問津，直到2017年左右短影音問世，他意外發現，有些影片觀看數破萬，因此他突發奇想，可以專攻短影音片市場，「前期我做的影片太制式，如果讓觀眾在短短幾秒內可以學會東西、獲得滿足感，就會是優勢。」奇軒回想草創初期至今，始終只是「1人團隊」，從企劃、拍攝、剪輯，都是自己來。他強調，一開始什麼都不會，除了大量研究各式短影音之外，更嘗試拆解熱門影片爆紅原因，歸納出不同做法。和許多台灣YouTuber不同，奇軒是「從國外紅回台灣」，他透露來自台灣的粉絲只有不到5%。奇軒解釋，當初訂閱數一度停滯，經過幾番研究後，他果斷拿掉會限制傳播的「語言」因素，以肢體動作和表情為主，走向國際也讓粉絲數快速飆升。他分析，不用語言就能看懂的影片，市場便可擴大到全球，而從YouTube後台數據確實可發現，他的粉絲以美洲、東南亞國家居多，遍布美國、加拿大、巴西、印度、馬來西亞等。福禍相倚，奇軒在國外打開市場、粉絲數暴增後，受到的第一個質疑便是「買粉」。他回憶，在2023年成為台灣第一名的訂閱YouTuber時，自己並沒有大肆張揚，卻在網路平台上掀起巨大討論，「當時我想說太棒了，大家可以認識我，結果沒想到是往買粉的方向寫，根本是地獄！」奇軒認為自己是非常倔強的人，不達目的不罷休，「有人覺得我做得不好，我就會把它做好，想要證明給大家看，」他笑說。除了藉由「非語言」影片打開市場，奇軒也首度透露對經營影音社群的3大心法：一、穩定更新更新頻率必須固定，例如至少2-3天發布新影片，避免網友忘記自己。經過實測，發布內容的規律性和粉絲數成長成正比關係。二、緊跟趨勢時刻注意社群平台討論度較高的話題，嘗試改成自己的創作內容。奇軒說明，現在許多人流行跟風，可以從模仿開始，培養自己對熱門題材的敏銳度。三、創新內容「製造期待感」是內容最重要的元素，「開頭一定要夠有力，例如製造衝突、反差、浮誇吸睛；或是製造劇情感，讓大家猜不到，這樣觀眾就會想繼續看下去。」奇軒補充，一般人做自媒體會參考同類型的頻道，但他的建議反而是參考不同類型的頻道，把不同元素結合在一起，創造自己的特色，「舉例來說，如果看了穿搭影片，我就會想我用什麼特技的方式穿搭，會吸引觀眾想看。」即使已經獲得可觀的訂閱數，奇軒還是不免擔心自己會「掉粉」，「我會盯著那個排名看，常常擔心（訂閱數）怎麼沒有再往上。」他眼神堅定地表示，自己的目標是達到3千萬訂閱以上，而下一步，是讓台灣的粉絲更認識他。奇軒的爆紅並非偶然，背後是縝密的規劃和堅持不懈，「懂得找到方法、願意試錯也很重要。」談及幾經波折卻沒放棄，奇軒笑說：「因為真的很愛吧。」當年全台跑透透的少年一定不會想到，自己某天可以透過短影片做為媒介，把他心愛的Tricking傳到全世界，無聲勝有聲。
2,娛樂,韓韶禧驚爆感情爭議「丟2代言」？ 品牌方說話了｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412908,2024-04-01 07:59:00,南韓女星韓韶禧在被拍到與柳俊烈共同到夏威夷旅遊後，火速認愛。不過，男方前女友惠利的一句「真有趣」，卻意外爆出三角戀風波。韓韶禧於30日宣布分手，結束兩人的短命戀，而三人的動向也曝光了。根據韓媒일간스포츠報導，有電影界人士透露，惠利已經再次啟程前往泰國曼谷拍攝電影熱帶夜（暫譯，열대야），其實她於3月初就開始拍了，因為21日有其他行程返韓；柳俊烈則是明日（4月1日）預計會開始拍攝電影啟示錄；而韓韶禧結束了兩個代言合作，儘管這兩個合作都是剛好合約到期，品牌方也聲稱與事件無關，但仍引發外界熱議。此外，綜合韓媒報導，韓韶禧的經紀公司9ato娛樂發表官方聲明指出，由於韓韶禧和柳俊烈都意識到工作更加重要，於是做出分手的決定，並不希望再讓私人生活成為負擔。韓韶禧的公司也承認錯誤，指出「韓韶禧這段期間以來因為個人感情，讓她自己以及大眾都感到疲倦，在溝通方式上也有疏失，對於這點非常抱歉，不管是什麼樣的批評我們都虛心接受；公司將負起責任、修正錯誤，希望大眾能以溫暖的視線關注，韓韶禧將會以健康的模樣回歸」。不過，韓韶禧卻在自己的部落格上發布了一張好萊塢女星妮可基嫚的一張迷因圖，疑似是在表達不滿。其實這張照片的來由是妮可基嫚（NicoleMaryKidman）在2001年與湯姆克魯斯（ThomasCruiseMapotherIV）離婚時，在律師事務所簽完離婚協議書，離開時忍不住擺動雙手歡呼，臉上的笑容完全藏不住，而韓韶禧分享照片也引起網友猜測，不過事情究竟如何，想必只有當事人最清楚了。
3,娛樂,李天怡抓野生動物當臨演 非洲人都看不下去全說了｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412918,2024-04-01 08:20:00,知名主播李天怡受三立老闆張榮華委託，替頑皮世界動物園赴非洲購買野生動物，卻浮報價格上億元，涉背信罪遭起訴。鏡週刊掌握，張榮華曾派人到非洲訪查，發現李天怡夫婦從頭到尾都沒在史瓦帝尼下訂單購買野生動物，卻不斷用話術詐騙，頑皮世界已取得當地野生動物掮客說詞作成書面證據，具狀向台北地檢署控告李天怡涉及詐騙，正由檢方擴大偵辦中。本刊透過管道取得這份由動物掮客David出具的宣示書，內容顯示李天怡夫婦背著頑皮世界成立亞太印象公司，再透過南非議員孫耀亨協助購買動物，但其實從未與史瓦帝尼動物園BigGamePark簽約，更未付過一毛錢，當時高明慧到史瓦帝尼查看準備運回台灣的動物，竟是孫耀亨早她一步到達、要求動物園捕捉至牢籠所製造的假象。BigGamePark動物園負責人、兼史瓦帝尼國王動物顧問Reilly也向高明慧爆料，指孫耀亨在張榮華派人至該園區查看前，先提出一份亞太印象公司要購買的動物種類及數量，要求園方捕捉至圍欄防護場地暫時圈養，由於該批動物形同臨演，等到高明慧離開後，孫竟連飼料錢等費用都沒付，野生動物園下達通牒令仍無著，最後只好將捕捉來的犀牛與羚羊等大批野生動物放走。此外，David說他認為園方無法達到台灣農委會對動物進口規定的要求，加上捕捉野生動物風險極高，因此向孫耀亨建議終止合作，但未獲回應，沒想到亞太印象仍一意孤行，要求一定要捕捉動物，目的即在於營造為動物交易努力的假象，企圖坑騙頑皮世界。更多鏡週刊報導【新聞傳真】動物掮客指證歷歷李天怡設局詐騙三立張榮華【動物臨演坑三立2】頑皮世界付1.5億慘當冤大頭女主播坑殺三立老闆手法曝光【動物臨演坑三立3】買賣野生長頸鹿價碼曝光李天怡報價灌水賺超多
4,娛樂,日藝術家村上隆來台 逛大稻埕品咖啡：超好喝｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412950,2024-04-01 10:43:00,在大稻埕的預約制咖啡廳，品嘗冰拿鐵，知名日本藝術家村上隆，引起現場一陣歡笑聲，他表示，好久沒有來台灣放鬆了，村上隆不論在藝術界或潮流界，都極具影響力，以超扁平的藝術風格著稱。這回村上隆，在同行朋友的帶領下，到西門町品嚐，代表性的台灣美食，滷肉飯＋半熟荷包蛋，路上多次被粉絲認出，而村上隆也熱情地跟幸運粉絲合照、簽名。同行朋友vs.村上隆：「非常好。」村上隆也前往寧夏夜市，享受台北夜生活，另外還分享到迪化街旅遊，行程有滿滿台灣風情，不少網友把他當大哥一般熱情留言，隆哥來台灣不揪的喔，也有不少人留言歡迎還推薦更多美食景點，希望村上隆玩得盡興。
5,娛樂,NewJeans在台北爆爭議 傳檢查住戶手機引眾怒｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412951,2024-04-01 10:51:00,韓國人氣女團NewJeans日前傳出在台灣進行秘密拍攝行程，遭附近網友目擊後，消息隨即在網路上傳開，甚至連五月天阿信也發文。未料後續傳出NewJeans本次屬於非公開行程，工作人員希望不要上船相關畫面，連帶引發NewJeans粉絲憤怒，四處要求發文者下架圖片。而目前也有消息指出，NewJeans工作人員在現場有攔下附近住戶進行手機檢查，消息傳到網路上後，更是引起眾多網友的不滿，甚至直言痛批「分不清楚是偶像拍攝還是黑道圍事了」。一名網友在PTT韓星板發文，內容中描述自己直擊到NewJeans拍攝現場，網友在文章中表示，自己日前停好車下來後，就看到現場有三台保母車，正在好奇發生什麼事情的時候，就被工作人員大聲的說「請離開，不要拍照」。由於自己並沒有拿手機拍照，距離拍攝地點也很遠，所以第一時間網友並沒有離去。但後續卻有一名女性工作人員現身，以正在拍攝為由，希望網友能夠離開。而網友也直言詢問「你們有路權嗎？」在工作人員表示沒有後，網友也回應「所以你們也不能要求我離開對吧」。後續網友也目擊到，有工作人員向住附近路過的民眾檢查手機，只因為該位民眾好奇現場情況，拿出手機拍照。該名網友表示，NewJeans是在「開放的道路」進行拍攝，除非現場工作人員進行封路、清場，否則應無權要求路人不要通過或是快速離開，更無權要求路人不得拍照，甚至做出檢查手機的行為。而該名網友也表示，他自己不清楚臨時路權的道路權限「是否能用三角錐圍起來封路」，他也看到工作人員在沒有申請的地段上，用三角錐把停車格圍起來，方便自己的保母車停放，還看到工作人員要求過民眾繞一個ㄇ字型過馬路，就只是為了要迴避拍攝。網友也提到，自己的確喜歡NewJeans，但這次台灣的承接廠商太敗好感「喜歡他們的粉絲還要被廠商帶風向，讓另一群粉絲去燒，結果這個廠商就那個自稱的工作人員放完砲繼續神隱，今天繼續工作」。網友最後也對昨日一名自稱是工作人員網友的勸戒發文表示意見，他認為「這個人說他是工作人員，就一堆人信，然後到處燒，那我現在是不是也可以稱我是工作人員來爆料？可惜我不是，不然這麼爛的公司我自己去檢舉好了，還在這邊發文討論」。
6,娛樂,張宇爆離婚內幕「扛下家中一切」 半夜跑頂樓偷哭｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412960,2024-04-01 11:51:00,曾擔任主播的張宇，在2017年與從事AI產業的老公老劉結婚，但婚姻僅維持6年的時間，兩人就決定分開，各走各路。日前，張宇在節目命運好好玩中，鬆口斬斷6年婚姻的真正內幕，表示結婚後她為了當完美的媽媽、老婆，將家中的大小事都往自己身上扛，日復一日，她漸漸失去自我，滿身疲憊的她更曾跑到頂樓爆哭。張宇在節目命運好好玩中大談斬斷6年婚姻的內幕，表示與前夫戀愛時，經常深感他是一個非常可靠的伴侶，才願意託付終身，離開待了7年的主播台，但結婚後，張宇與前夫因歷經孩子的出生，讓兩人失去了原有的激情生活，聊天的話題全是家庭與事業。張宇也說道，婚姻並不像談戀愛一樣，「因為在婚姻它其實是一個結構，我們有婆婆、有媽媽、兩個家庭，在這個結構裡面，你必須要有很大的智慧，去處理所有的疑難雜症」，因此，張宇為了讓家庭美滿，「你要把自己縮的很小」，不過，這也讓張宇漸漸地失去自我。張宇分享道，過去在買房的時候，她為了讓前夫能放心工作、不用煩惱家中的事情，「我自己一個人那時候挺著大肚子，就懷著小的然後牽著1歲大的，跟著設計師跑工廠，看石材，家裡的一磚一瓦、每個家具、所有東西，我去做功課，包括搬家收拾打包」，全部一手包辦，只為了當一個完美的媽媽、老婆。張宇也提及，有次在滑IG的時候，「然後滑到我朋友一天到晚在旅行，然後每天穿個比基尼很開心」，而這讓她看了以後，內心竟然有了一股怒火，「我就想怎麼有人可以這麼自由」，這想法讓當時的張宇深感自己的不對勁，「我怎麼會有這種情緒」，才發現原來是自己失去了自由，除了家庭工作，「我完全沒有自己，我的藍圖裡面沒有我，我都是為了大家活著」。壓倒張宇的最後一根稻草是，與前夫再也沒有浪漫的兩人生活，「久了之後真的覺得這是一種枯萎」，雖然兩人都有好好靜下來討論這問題，但仍沒有結局。張宇也說道，因為前夫經常忙於事業，讓她僅能靠自己顧家庭，「有時候自己真的很像偽單親」，這痛苦的深淵，讓張宇多次在半夜默默落淚，甚至跑到頂樓往下看，只為了散心，聽了真心疼。
7,娛樂,黃明志驚爆「4/1辦告別式」 經紀公司證實了｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412962,2024-04-01 11:49:00,馬來西亞歌手黃明志，以強烈個人風格擁有許多粉絲，過去就曾以一曲玻璃心，狠酸大陸小粉紅。沒想到，今（1）日清晨卻突然在臉書上傳告別式詳細內容，引起許多粉絲討論，而有消息傳出，已有殯葬公司證實，黃明志有預留禮堂檔期。今日清晨4點52分，黃明志官方臉書突上傳一張訃告，內容指出黃明志的告別式將在今日舉行，地點選擇在富貴生命館3樓追思禮堂，請前往的親友穿著白色衣物，並謝絕外界採訪、花全、花籃等。不過因為今日恰好是愚人節，文章發出後也讓網友紛紛留言，「雖然知道是愚人哏，但不吉利」、「他的音樂將代替他活下來」、「不要開這種玩笑」、「不太喜歡餒，想起張國榮當年事件，真希望也是個愚人節玩笑」、「不太喜歡這個玩笑耶…愚人節快樂」。對此，根據星洲娛樂報導，富貴集團證實，黃明志的團隊確實預留今天晚上7點的禮堂檔期，將舉辦「黃明志告別式」，而黃明志的經紀公司亞洲通文創則回應，「4月1號晚上7點，的確會在富貴生命館舉辦黃明志告別式。」
8,娛樂,日舞團Avantgardey首在台live！嗨跳妳是我的花朵｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412968,2024-04-01 12:11:00,日本舞團Avantgardey（妳是我的花朵）：「喔~你是我的花朵，就算你身邊，很多小石頭。」浮誇表情，配上經典昭和風高校生造型，日本人氣舞團Avantgardey首度登上大港開唱，帶來經典台灣歌組曲。日本舞團Avantgardey（姊姊妹妹站起來）：「10個男人7個傻8個呆，9個壞還有一個人人愛，姐妹們跳出來。」連這首歌也能編成魔性舞蹈，台下35萬粉絲真的嗨翻了，Avantgardey算是第一次正式在台灣LIVE演出。很多人好奇，表演時她們的瀏海怎麼都不會亂，但Avantgardey說，這是商業機密，希望還能再來台灣演出。日本舞團Avantgardey（保庇）：「保庇，保庇，保庇，保庇，保庇，保庇，保庇，噢，保庇，保庇，保庇，保庇，保庇，保庇啊啊。」
9,娛樂,「黃明志告別式」舉行時間曝光 粉絲崩潰了｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412972,2024-04-01 12:48:00,馬來西亞歌手黃明志以他獨特的風格吸引了眾多歌迷的喜愛，過去他曾以歌曲玻璃心中幽默批評大陸網友，引起不小的迴響。然而，就在今（1）日清晨，他的粉專突然宣布要辦「黃明志告別式」，引起了粉絲們的熱烈討論，甚至已有殯葬公司確認，黃明志已經預訂了追思禮堂，舉行時間曝光了。在今日清晨4點52分，黃明志的官方臉書上突然出現了一則訃告，內容顯示黃明志的告別式將在今天舉行，地點選在富貴生命館3樓的追思禮堂，並要求親友穿著白色服裝參加，同時拒絕了外界的採訪、花卉以及花籃等。然而，值得注意的是，今天剛好是愚人節，這篇告別式文章一出便引發了眾多網友的熱議，網友紛紛表示，「雖然知道是愚人哏，但不吉利」、「他的音樂將代替他活下來」、「不要開這種玩笑」、「不太喜歡餒，想起張國榮當年事件，真希望也是個愚人節玩笑」、「不太喜歡這個玩笑耶…愚人節快樂」。針對此事，星洲娛樂報導指出，富貴集團已證實黃明志的團隊確實預約了今晚7點的追思禮堂，將舉辦「黃明志告別式」。而黃明志的經紀公司亞洲通文創也回應「確實將於4月1日晚上7點，在富貴生命館舉辦黃明志的告別式。」事實上，黃明志給外界的印象便是擅長惡搞，今年1月26日，他便上架一首龍的傳人，以近期非常紅的科目三暗諷中國大陸，「從小我們都是喝黃河的水和吃中國的海鮮長大的。我們一定要記得我們的根在哪里，一定要學會科目三怎麽跳，不要數典忘祖！作為一個『龍的傳人』，要時時刻刻記得愛黨、愛國、愛主席！在這裡我要代表中央恭祝各界龍年快樂！祖國萬歲！」這首歌甚至吸引深陷「小粉紅」騷擾的英國鋼琴家卡瓦納（BrendanKavanagh）朝聖留言，引起廣大迴響。而這次在愚人節傳出要辦告別式，也讓許多喜愛他的網友忍不住留言「希望不是真的」。
10,娛樂,影／孫藝珍證實「要來台灣」 親口宣布時間｜東森新聞,EBC,https://news.ebc.net.tw/news/article/412976,2024-04-01 13:21:00,知名南韓演員孫藝珍與玄彬，因愛的迫降熟識而步入婚姻，成為外界注目的焦點，而今（1）天孫藝珍也傳出令人興奮的消息，她將出席品牌代言活動，在4月16日首度造訪台灣。孫藝珍代言品牌商於1日證實，孫藝珍將於四月為愛訪台，她預計在4月16日首度訪台，品牌同時釋出一段影片，影片中孫藝珍表示，「大家好我是孫藝珍，我即將在不久的將來，來到台灣跟大家見面，真的很期待。」
