,words
中國,4910
大陸,3130
表示,2190
報導,2039
香港,1913
市場,1406
經濟,1333
指出,1253
發展,1211
公司,1151
企業,994
美國,980
國家,952
去年,877
人民幣,814
台灣,805
認為,779
北京,769
工作,737
今年,727
國際,719
億元,714
目前,695
問題,689
顯示,688
持續,627
合作,625
相關,612
進行,598
發布,581
影響,575
政府,563
包括,559
春節,556
全球,540
安全,536
政策,535
已經,526
投資,526
汽車,525
超過,514
推動,512
主要,509
網友,503
萬元,503
上海,503
兩岸,497
數據,480
增長,478
項目,476
官方,458
重要,457
提供,456
期間,454
集團,450
城市,441
會議,439
支持,436
情況,435
強調,435
活動,433
出現,425
旅遊,404
要求,401
房地產,399
希望,398
媒體,392
進一步,392
方面,391
繼續,390
部分,385
增加,381
技術,378
需求,375
地區,375
習近平,371
產品,370
年月日,368
報告,367
預計,365
社會,365
時間,363
實現,363
消費,359
以來,358
成為,357
關注,355
中共,352
平台,347
未來,346
需要,346
科技,345
領域,340
宣布,338
世界,334
手機,330
近日,328
機構,323
交易,318
公布,318
發現,315
加強,315
提到,314
今天,313
穩定,313
這是,312
業務,310
關係,309
提升,305
晶片,304
下降,302
消息,301
主席,301
提出,300
政治,300
人員,299
發生,297
產業,295
新聞,295
中方,295
雙方,294
行為,290
研究,290
影片,288
代表,287
服務,284
風險,279
正在,278
進入,277
文化,277
當地,276
中央,274
過去,274
現在,273
推出,273
措施,273
全國,270
舉行,269
共同,269
生產,268
管理,268
透過,268
人士,267
行業,267
交流,266
文章,266
綜合,266
全面,265
公開,264
導致,264
地方,261
分別,261
方式,261
分析,261
當時,260
旅客,260
網路,257
遊客,257
成長,257
俄羅斯,257
最大,257
原因,256
信心,254
嚴重,252
疫情,251
調查,250
針對,250
時代,249
預期,249
日本,248
一些,247
中心,246
有人,244
員工,242
積極,242
目標,241
建設,241
融資,241
資金,241
電池,240
王毅,239
出口,238
歷史,238
華為,237
一名,233
回應,233
台幣,231
選擇,231
特別,231
事件,231
價格,231
規模,230
組織,228
實施,227
計畫,226
股市,226
環境,225
日前,224
德國,224
達到,223
之後,222
以上,221
使用,220
投資者,219
維護,218
造成,216
決定,216
部門,216
恢復,215
擴大,214
戰略,213
舉辦,213
創新,213
引述,213
第一,212
新聞報導,210
一直,210
立法,209
當局,209
參與,207
港府,205
召開,204
民眾,204
收入,204
限制,203
此前,203
推進,202
梅西,201
行動,201
存在,201
小米,201
同比,201
所有,200
主任,200
品牌,200
近期,199
受到,199
億美元,199
堅持,199
引發,199
深圳,199
首次,198
是否,198
指數,197
對此,197
一年,196
取材自,196
明顯,195
解決,194
監管,194
獲得,194
小時,194
許多,194
接受,193
面臨,192
建議,191
開放,191
能力,191
促進,191
新能源,190
完成,190
來自,190
兩個,189
不斷,188
芯片,188
採取,188
英國,188
國內,188
萬人次,188
能夠,187
智慧,187
討論,187
和平,186
正式,186
總統,186
帶來,185
自由,183
孩子,183
重點,182
資產,182
銷售,182
上市,181
製造,181
海外,180
警方,179
壓力,177
新華社,177
建立,177
台商,177
區域,176
當前,175
金融,174
股票,174
發表,174
無法,173
系統,173
貴州,172
涉及,172
工廠,172
資訊,172
資本,170
直接,170
上述,170
減少,170
境外,170
前往,169
歐洲,169
多個,168
執行,167
內容,167
下跌,167
保持,167
應該,166
證券,165
了解,165
最新,165
最後,164
整體,164
資料,164
上市公司,164
公告,163
這次,163
透露,162
規定,162
一家,162
因素,162
銀行,161
基礎,161
比亞迪,160
左右,159
發言人,159
保障,159
現場,159
文件,159
專家,158
人口,158
新加坡,158
機制,158
半導體,158
證監會,158
傳統,157
委員會,157
處理,157
微博,156
男子,156
累計,155
外國,155
最高,155
機場,155
長期,154
烏克蘭,154
利益,154
兩會,153
法律,153
之間,153
表現,153
挑戰,153
有限公司,153
連續,152
維持,152
貸款,152
引起,152
天氣,151
生活,151
商業,151
杭州,151
這一,150
此次,149
基金,148
堅決,148
電動車,147
結束,147
美元,147
範圍,147
出席,146
居民,145
發文,145
董事長,144
辦公室,144
澳洲,144
官員,144
昨天,143
利用,143
展開,143
金額,142
數量,142
海域,142
機會,142
看到,141
內地,141
最終,141
成本,141
執法,140
安排,140
衛星,139
過程,139
尤其,139
設備,139
財經,139
旗下,139
央視,138
擁有,138
研發,138
貿易,138
計劃,137
團隊,137
同期,137
對話,137
落實,136
健康,136
取得,136
上升,136
一定,135
開展,135
吸引,135
關鍵,135
上漲,134
相信,134
農曆,133
競爭,133
協調,133
飛機,133
訊息,133
成功,133
學生,133
呼籲,133
債務,133
新疆,132
擔任,132
留言,132
單位,132
網站,132
白名單,131
保護,131
帳號,131
共識,131
福建,131
模式,130
趨勢,130
成立,130
銷量,130
反對,130
廣州,129
航空,129
位於,129
支付,129
面對,129
之前,128
介紹,127
湖北,127
人數,127
一度,127
加大,126
完全,126
努力,126
再次,126
大型,126
期待,125
大量,125
首席,125
優勢,125
購買,125
台海,125
國務院,125
訪問,125
模型,125
原則,124
突破,124
價值,124
湖南,124
外界,124
海南,123
交付,123
溝通,123
澎湃,123
形成,123
昨日,122
比較,122
設計,122
大幅,122
一起,122
平均,122
工業,122
外交部,122
工作人員,122
力度,121
近年,121
考慮,121
訂單,121
統計,121
提高,120
通知,120
參加,120
準備,120
網上,119
負責人,119
產能,119
研究院,119
反映,119
違法,119
春節假期,119
處於,119
女子,119
評論,118
電動,118
下同,118
勢力,118
年輕人,118
調整,118
系列,117
依法,117
經營,117
任務,117
就業,116
電影,116
海警,116
兩岸關係,116
一次,116
下午,116
歐盟,116
意見,116
方向,116
醫院,115
娃哈哈,115
網民,115
作出,114
披露,114
取消,114
製造業,114
條件,114
具有,114
全部,113
變化,113
有所,113
最近,113
新年,113
傳出,113
消費者,112
萬輛,112
禁止,112
得到,112
作用,112
朋友,112
將在,111
先進,111
供應鏈,111
核心,111
空間,111
年底,111
港澳,111
黃金,110
改善,110
正常,110
紛紛,110
微信,110
方案,110
視頻,110
一種,109
車輛,109
重大,109
第季,109
航線,109
聯合,108
資源,108
優化,108
各地,108
酒店,108
內部,108
這項,108
股份,108
房市,108
預警,108
發揮,107
諮詢,107
公里,107
戰爭,107
水平,107
會見,107
改變,107
記者,107
航班,107
至少,107
產生,106
入境,106
市民,106
更好,106
官網,105
兩國,105
授權,105
違規,105
陸委會,105
中國政府,105
年度,105
球迷,105
帶動,105
力量,105
利率,104
軍事,104
降低,104
美方,104
總部,104
龍年,104
加速,104
有效,104
擔心,104
年來,104
外長,103
幫助,103
實際,103
記者會,103
客戶,103
開發,102
確保,102
