,words
億元,3079
市場,2477
今年,2407
成長,2375
營收,2354
去年,1964
持續,1656
表示,1609
投資,1575
表現,1449
指數,1414
台股,1373
預期,1333
需求,1303
公司,1243
第季,1153
產品,1127
每股,1122
獲利,1095
股價,1077
投資人,1073
法人,1070
營運,1023
客戶,1023
半導體,1022
目前,986
產業,984
相關,928
純益,916
台灣,910
主要,909
全球,883
指出,840
美國,839
增加,819
帶動,818
上漲,816
配息,787
新高,765
股息,734
可望,709
看好,701
預估,696
利率,692
整體,687
動能,685
未來,654
展望,652
稅後,648
受惠,642
外資,640
股利,638
今日,631
公布,625
歷史,625
基金,617
合併,602
漲幅,596
昨日,590
影響,588
科技,575
布局,573
降息,567
伺服器,566
企業,561
訂單,559
包括,543
維持,538
業務,532
業績,532
現金,530
機會,528
提升,518
預計,511
優於,507
超過,505
出貨,495
應用,491
提供,479
產能,477
投信,476
毛利率,473
股票,473
財報,470
發展,468
證券,461
中國,456
公告,455
有望,455
上市,454
配發,454
以上,450
大陸,448
美元,445
庫存,439
族群,431
服務,430
經濟,426
盤中,425
品牌,421
趨勢,412
資金,412
晶片,410
風險,406
電子,404
元月,402
方面,399
金額,398
技術,397
建議,390
個股,389
積極,387
日本,383
億美元,379
下跌,379
台積電,379
國際,377
買進,376
集團,376
創新,376
設備,376
認為,370
調整,370
資本,369
期貨,368
市值,366
近期,364
買超,362
大盤,358
進行,356
規模,356
推出,356
資訊,352
觀察,347
手機,346
穩定,345
美股,341
下半年,340
強勁,340
大廠,340
部分,338
董事會,338
股市,336
以來,334
相對,333
交易,333
去年同期,330
創下,330
今天,328
台積,327
透過,324
時間,324
國泰,324
價格,321
年增,316
盈餘,316
供應鏈,315
董事長,312
債券,312
行情,310
高息,310
期間,309
銷售,308
萬元,305
震盪,302
顯示,302
減少,299
出現,298
年減,296
封關,296
分析,294
合作,293
旗下,292
數據,292
收益,290
春節,290
權證,288
擴大,286
大幅,285
設計,284
輝達,281
分別,280
陸續,280
系統,280
樂觀,279
終場,279
平均,279
目標,278
後市,278
淨利,277
成為,277
策略,277
復甦,277
持有,276
進入,274
生產,272
資料,272
貢獻,270
呈現,269
成分股,269
標的,268
最大,265
開發,265
長期,265
領域,264
永續,264
走勢,262
政策,261
水準,259
重要,257
強勢,256
增長,256
挹注,255
智慧,254
景氣,253
臺灣,252
推升,250
國內,250
統計,250
已經,250
積電,248
單月,246
一年,246
最高,245
紅盤,245
推動,243
逐步,242
大漲,242
三大,239
高點,236
中心,234
受到,233
平台,233
車用,232
穩健,232
過去,231
關注,230
同期,229
投顧,228
同步,226
進一步,226
授權,226
投入,225
製程,222
收盤,221
年度,221
商機,221
出貨量,220
上半年,219
雲端,219
先進,218
開出,218
報酬率,216
商品,214
事業,213
概念股,213
留意,213
農曆,213
台幣,213
材料,212
證交所,211
題材,211
研發,209
年月日,209
後續,209
明顯,208
處於,208
操作,208
參與,207
最新,207
資產,207
一度,207
